AREA,BFIHOST,FARL,FPEXT,LDP,PROPWET,RMED-1D,SAAR,Index flood
0.4812939658879175,0.3920634920634921,0.8871657754010696,0.26,0.488684673166054,0.4301587301587302,0.33594470046082947,0.34394250513347024,0.5094580592896609
0.10005045148344562,0.5306878306878307,0.8999999999999999,0.16792022792022793,0.10338820521016462,0.5063492063492064,0.39677419354838717,0.36611909650924024,0.10146534573700312
0.13870087430127565,0.2502645502645503,0.8358288770053475,0.30148148148148146,0.22721751638165255,0.7222222222222222,0.7764976958525345,0.7989733059548255,0.3104637501482578
0.20422817830012902,0.5116402116402116,0.8700534759358288,0.38581196581196586,0.28130094294390284,0.3285714285714286,0.2935483870967742,0.26919917864476384,0.22726218902243894
0.1400859968467823,0.47037037037037044,0.8272727272727273,0.38854700854700863,0.26340099089020297,0.3920634920634921,0.41152073732718886,0.3677618069815195,0.11906113141340519
0.17390225025082412,0.44285714285714295,0.8443850267379679,0.2955555555555555,0.22939108198817326,0.3666666666666667,0.23271889400921664,0.16776180698151952,0.15366549030226673
0.14277368496488463,0.8915343915343915,0.8358288770053475,0.32792022792022796,0.21673325875019978,0.265079365079365,0.2732718894009216,0.22854209445585216,0.10539769993532608
0.6150454350007166,0.5402116402116401,0.874331550802139,0.37897435897435894,0.6144318363432957,0.2777777777777778,0.24562211981566817,0.2158110882956879,0.347744580481004
0.12680349720510248,0.3296296296296296,0.8999999999999999,0.12461538461538461,0.18809333546428003,0.40476190476190477,0.2935483870967742,0.2893223819301848,0.14355129269542607
0.11155797620753906,0.6714285714285715,0.32673796791443865,0.20712250712250713,0.15740770337222312,0.37936507936507935,0.435483870967742,0.4018480492813141,0.10635908167489824
0.44738139601547944,0.3010582010582011,0.5877005347593586,0.33202279202279206,0.7727185552181557,0.3666666666666667,0.3801843317972351,0.3480492813141684,0.516902946580226
0.9,0.40476190476190477,0.63475935828877,0.36849002849002843,0.740178999520537,0.6968253968253968,0.28617511520737327,0.36078028747433266,0.5001441176931323
0.14436978644116383,0.355026455026455,0.8401069518716577,0.4277492877492878,0.22120824676362477,0.5952380952380953,0.3506912442396314,0.4026694045174538,0.16638365293595042
0.1396961444747026,0.20793650793650792,0.8871657754010696,0.2116809116809117,0.23252357359757073,0.5698412698412698,0.3709677419354839,0.3016427104722793,0.2425225519573376
0.10123376809516985,0.23121693121693124,0.8999999999999999,0.3247293447293447,0.10978104522934315,0.16349206349206352,0.24009216589861754,0.13367556468172487,0.10268542285339606
0.19358291529310592,0.7126984126984127,0.7759358288770053,0.24814814814814815,0.2864152149592457,0.3031746031746032,0.3635944700460829,0.2852156057494867,0.12782456132498765
0.2670723806793751,0.5380952380952381,0.8657754010695188,0.5006837606837607,0.43472910340418736,0.29047619047619044,0.2751152073732719,0.23059548254620124,0.178700792423527
0.1256247670918733,0.335978835978836,0.8957219251336899,0.28689458689458686,0.20771935432315805,0.4555555555555556,0.3709677419354839,0.3484599589322382,0.15465551619421875
0.10995270173426974,0.6005291005291006,0.6133689839572195,0.3534472934472934,0.16111555058334665,0.265079365079365,0.2603686635944701,0.2425051334702259,0.10529028302119023
0.13507295399168698,0.426984126984127,0.8999999999999999,0.3133333333333333,0.2459485376378456,0.2142857142857143,0.21059907834101382,0.12464065708418892,0.11105678102838269
